Name,3M,ACE,AES
7/12/2001,59.15,39,16.8
10/12/2001,58.88,38.65,15
11/12/2001,58.15,38.25,14.6
12/12/2001,57.935,37.6,13.99
13/12/2001,57.875,37.6,14.32
14/12/2001,57.515,37.35,14.2
17/12/2001,57.65,37.75,14.55
18/12/2001,58.75,38,14.21
19/12/2001,59.2,38.25,14.65
20/12/2001,59.85,38.25,14.65
21/12/2001,59.25,38.6,14.25
24/12/2001,59.6,38.46,14.27
26/12/2001,59.71,38.83,14.6
27/12/2001,60.325,39.98,14.62
28/12/2001,60,40.14,16.3
31/12/2001,59.96,40.33,16.5
2/01/2002,58.515,40,15.5
3/01/2002,58.45,39.82,16.6
4/01/2002,58.33,39.05,16.65
7/01/2002,58.5,38.85,17.7
8/01/2002,57.95,36.5,17.84
9/01/2002,57.65,37.97,17.77
10/01/2002,56.975,38.3,16.65
11/01/2002,56.6,37.99,17.11
14/01/2002,56.895,37.9,16.6
15/01/2002,55.88,36.5,16.55
16/01/2002,54.25,37.19,16.03
17/01/2002,52.35,36.64,15.8
18/01/2002,52.225,35.3,15.45
22/01/2002,53.825,36,15.35
23/01/2002,53.325,35.57,15.55
24/01/2002,53.65,37,15.2
25/01/2002,54.65,36.98,15.46
28/01/2002,55.275,37.7,15.38
29/01/2002,55.25,38.26,15.4
30/01/2002,53.95,38.3,14.42
31/01/2002,54.935,38.34,13.89
1/02/2002,55.5,38.85,13.35
4/02/2002,56.3,39.06,13.07
5/02/2002,54.95,38.63,11.6
6/02/2002,54.625,38.36,10.75
7/02/2002,55.125,38,9.95
8/02/2002,54.55,38.96,10.05
11/02/2002,55.25,38.75,10
12/02/2002,57,39.6,10.43
13/02/2002,57.35,41,10.15
14/02/2002,58,44.15,10
15/02/2002,58.68,43.38,9
19/02/2002,57.725,43,6.5
20/02/2002,57.05,42.25,4.9
21/02/2002,58.625,42.3,4.35
22/02/2002,58.005,41.4,4.09
25/02/2002,59.5,41.81,4.2
26/02/2002,59.95,42.5,4.98
27/02/2002,59.725,43.5,5.15
28/02/2002,59.55,44.3,4.99
1/03/2002,58.6,43.8,5.3
4/03/2002,59.985,42.95,5
5/03/2002,60.85,43.1,5.3
6/03/2002,60.45,43.95,6.09
7/03/2002,60.66,44.4,6.99
8/03/2002,60.69,43,7.49
11/03/2002,60.5,42.3,8.6
12/03/2002,59.5,41.95,8.76
13/03/2002,60.695,42.05,8.69
14/03/2002,60.075,42.2,8.5
15/03/2002,60.325,43.88,8.4
18/03/2002,61.25,43.35,7.86
19/03/2002,61.3,42.14,9.1
20/03/2002,60.8,41.15,8.9
21/03/2002,60,40.75,9.1
22/03/2002,58.975,41.91,9.09
25/03/2002,58.435,42.04,8.75
26/03/2002,57.775,40.55,8.6
27/03/2002,58.425,40.28,8.8
28/03/2002,57.925,41.3,9.26
1/04/2002,57.575,41.9,8.75
2/04/2002,57.635,41.7,9
3/04/2002,56.675,42.4,8.7
4/04/2002,56.525,42.05,9
5/04/2002,60.025,43.05,9.06
8/04/2002,60.465,43.14,9.17
9/04/2002,61.815,43.85,8.85
10/04/2002,62.055,44.2,8.77
11/04/2002,62.57,44.89,8.8
12/04/2002,62.25,44.4,8.5
15/04/2002,61.4,44.4,8.45
16/04/2002,61.25,43.2,7.64
17/04/2002,62,43,7.97
18/04/2002,61.7,43.41,7.95
19/04/2002,62.125,43.55,7.86
22/04/2002,62.61,43.81,7.45
23/04/2002,62.38,44.4,7.77
24/04/2002,62.1,43.9,7.79
25/04/2002,62.5,43.13,8
26/04/2002,63.475,42.32,8
29/04/2002,61.86,42.4,7.7
30/04/2002,61.32,42.26,7.95
1/05/2002,62.9,41,8.02
2/05/2002,62.99,38.03,8.45
3/05/2002,63.1,36.5,8.4
6/05/2002,63.05,37.15,8.28
7/05/2002,61.985,36.25,8.01
8/05/2002,62.8,36.25,7.68
9/05/2002,62.965,35.7,7.78
10/05/2002,63.2,35,7.29
13/05/2002,63.49,34.45,6.72
14/05/2002,64.575,35.15,6.91
15/05/2002,64.755,34.61,6.9
16/05/2002,64.75,34.15,7
17/05/2002,64.485,33.39,6.55
20/05/2002,64.91,33.36,6.4
21/05/2002,64.15,32.8,6.65
