Start,20/7/1988,,Start,20/7/1988,,Start,20/7/1988,,Start,20/7/1988,,Start,20/7/1988
End,20/7/2009,,End,20/7/2009,,End,20/7/2009,,End,20/7/2009,,End,20/7/2009
Frequency,D,,Frequency,D,,Frequency,D,,Frequency,D,,Frequency,D
Name,MICROSOFT,,Name,APPLE,,Name,INTEL,,Name,HEWLETT-PACKARD,,Name,MOTORS LIQUIDATION
Code,719643(P),,Code,992816(P),,Code,922726(P),,Code,905277(P),,Code,905171(P)
CURRENCY,U$,,CURRENCY,U$,,CURRENCY,U$,,CURRENCY,U$,,CURRENCY,U$
20/7/1988,0.4445,,20/7/1988,11.0625,,20/7/1988,1.0547,,20/7/1988,5.1483,,20/7/1988,31.0715
21/7/1988,0.4237,,21/7/1988,10.75,,21/7/1988,1.0312,,21/7/1988,4.9649,,21/7/1988,31.2185
22/7/1988,0.4289,,22/7/1988,10.625,,22/7/1988,1.0781,,22/7/1988,4.8548,,22/7/1988,30.8264
25/7/1988,0.4202,,25/7/1988,10.6875,,25/7/1988,1.0742,,25/7/1988,4.916,,25/7/1988,31.3655
26/7/1988,0.4028,,26/7/1988,10.6875,,26/7/1988,1.0781,,26/7/1988,4.867,,26/7/1988,31.1205
27/7/1988,0.4002,,27/7/1988,10.6875,,27/7/1988,1.0547,,27/7/1988,4.7325,,27/7/1988,31.0715
28/7/1988,0.4046,,28/7/1988,10.7188,,28/7/1988,1.0625,,28/7/1988,4.7814,,28/7/1988,31.3655
29/7/1988,0.4132,,29/7/1988,11.0938,,29/7/1988,1.0859,,29/7/1988,4.9404,,29/7/1988,31.4145
1/8/1988,0.4063,,1/8/1988,11.25,,1/8/1988,1.0937,,1/8/1988,5.0016,,1/8/1988,31.3655
2/8/1988,0.3993,,2/8/1988,11.1563,,2/8/1988,1.082,,2/8/1988,5.0016,,2/8/1988,31.0715
3/8/1988,0.3907,,3/8/1988,11.1875,,3/8/1988,1.0859,,3/8/1988,4.916,,3/8/1988,31.2675
4/8/1988,0.3855,,4/8/1988,11.1563,,4/8/1988,1.0781,,4/8/1988,4.8426,,4/8/1988,31.0715
5/8/1988,0.3716,,5/8/1988,11.0625,,5/8/1988,1.0703,,5/8/1988,4.8181,,5/8/1988,30.6304
8/8/1988,0.3698,,8/8/1988,11,,8/8/1988,1.0469,,8/8/1988,4.8181,,8/8/1988,30.5814
9/8/1988,0.3594,,9/8/1988,10.875,,9/8/1988,1.0156,,9/8/1988,4.8793,,9/8/1988,30.2873
10/8/1988,0.3507,,10/8/1988,10.4688,,10/8/1988,0.9766,,10/8/1988,4.7692,,10/8/1988,29.6992
11/8/1988,0.3594,,11/8/1988,10.8125,,11/8/1988,1.0078,,11/8/1988,4.8181,,11/8/1988,29.7482
12/8/1988,0.3611,,12/8/1988,10.625,,12/8/1988,0.9922,,12/8/1988,4.8181,,12/8/1988,29.6992
15/8/1988,0.3525,,15/8/1988,10.3125,,15/8/1988,0.9453,,15/8/1988,4.6347,,15/8/1988,29.5522
16/8/1988,0.3646,,16/8/1988,10.625,,16/8/1988,0.9844,,16/8/1988,4.488,,16/8/1988,29.4052
17/8/1988,0.3646,,17/8/1988,10.5,,17/8/1988,0.9727,,17/8/1988,4.329,,17/8/1988,29.0131
18/8/1988,0.3664,,18/8/1988,10.625,,18/8/1988,0.9609,,18/8/1988,4.4024,,18/8/1988,29.3072
19/8/1988,0.3507,,19/8/1988,10.1875,,19/8/1988,0.9453,,19/8/1988,4.4024,,19/8/1988,28.229
22/8/1988,0.3334,,22/8/1988,9.9375,,22/8/1988,0.9258,,22/8/1988,4.3534,,22/8/1988,27.8859
23/8/1988,0.3429,,23/8/1988,9.875,,23/8/1988,0.9219,,23/8/1988,4.3779,,23/8/1988,28.327
24/8/1988,0.3577,,24/8/1988,10.1875,,24/8/1988,0.9297,,24/8/1988,4.4757,,24/8/1988,28.621
25/8/1988,0.3525,,25/8/1988,10.0313,,25/8/1988,0.9023,,25/8/1988,4.4268,,25/8/1988,28.376
26/8/1988,0.3568,,26/8/1988,10.0625,,26/8/1988,0.875,,26/8/1988,4.5369,,26/8/1988,28.229
29/8/1988,0.362,,29/8/1988,10.2188,,29/8/1988,0.9141,,29/8/1988,4.6225,,29/8/1988,28.474
