obs,INF,LGNP,LM1,LRSL,LRTB,LVCC,LW
1952Q2,-0.3,6.38368,0.77078,1.01523,0.50078,4.47718,-3.99998
1952Q3,2.5,6.39409,0.77425,1.02245,0.57661,4.47792,-4.02701
1952Q4,4.6,6.41755,0.77424,1.03318,0.63658,4.55370,-4.02194
1953Q1,0.5,6.43326,0.77646,1.04380,0.68310,4.50472,-4.01229
1953Q2,1.1,6.43967,0.77931,1.06126,0.76547,4.51665,-4.00725
1953Q3,1.4,6.43358,0.77748,1.07158,0.67294,4.51622,-4.00505
1953Q4,-1.8,6.42390,0.78334,1.07500,0.38526,4.58940,-3.99441
1954Q1,5.0,6.41034,0.77461,1.07841,0.05827,4.52398,-3.98885
1954Q2,1.4,6.40622,0.77358,1.08519,-0.23572,4.52644,-3.97422
1954Q3,-0.9,6.42065,0.78448,1.09192,-0.12783,4.51883,-3.95400
1954Q4,2.0,6.43951,0.79013,1.09527,0.01980,4.59510,-3.93396
1955Q1,3.7,6.46319,0.79311,1.09861,0.20701,4.56082,-3.91950
1955Q2,2.1,6.47820,0.79249,1.10194,0.39204,4.56780,-3.90383
1955Q3,2.8,6.49269,0.79039,1.10526,0.62058,4.55748,-3.88066
1955Q4,2.1,6.50279,0.78698,1.11186,0.85015,4.63733,-3.86207
1956Q1,3.5,6.49843,0.78257,1.11841,0.84587,4.60259,-3.86247
1956Q2,3.3,6.50354,0.77675,1.12493,0.94391,4.60725,-3.85602
1956Q3,4.6,6.50414,0.76635,1.14422,0.94779,4.60073,-3.84917
1956Q4,3.3,6.51575,0.76130,1.16938,1.10856,4.66819,-3.84313
1957Q1,4.7,6.52268,0.75259,1.19089,1.13140,4.61964,-3.84821
1957Q2,1.6,6.52342,0.74795,1.20597,1.14422,4.63990,-3.83769
1957Q3,3.8,6.53029,0.73946,1.22378,1.20896,4.64136,-3.83057
1957Q4,0.4,6.51723,0.73360,1.24127,1.19392,4.69811,-3.82916
1958Q1,1.6,6.49738,0.72829,1.25276,0.56531,4.64369,-3.83093
1958Q2,0.9,6.50459,0.73773,1.25276,-0.04082,4.64611,-3.81299
1958Q3,2.3,6.52854,0.74179,1.24415,0.51879,4.63772,-3.79525
1958Q4,1.2,6.55408,0.75093,1.24990,0.98954,4.69897,-3.76652
1959Q1,3.4,6.56625,0.75535,1.25846,1.01885,4.67617,-3.74222
1959Q2,2.9,6.58796,0.75778,1.27257,1.09861,4.68128,-3.72084
1959Q3,1.5,6.57730,0.75819,1.30019,1.26413,4.67408,-3.70526
1959Q4,1.5,6.58783,0.74752,1.33763,1.44220,4.72047,-3.69360
1960Q1,2.6,6.60760,0.73747,1.37118,1.35325,4.69073,-3.69474
1960Q2,0.9,6.60516,0.73315,1.39128,1.09527,4.72029,-3.69238
1960Q3,1.5,6.60082,0.73791,1.39128,0.85866,4.70916,-3.69179
1960Q4,0.8,6.59564,0.73855,1.39377,0.83725,4.76313,-3.68859
1961Q1,-0.5,6.60205,0.74415,1.39377,0.85442,4.73515,-3.66930
1961Q2,1.9,6.61874,0.74661,1.39377,0.83291,4.73445,-3.64755
1961Q3,1.7,6.63161,0.74843,1.39872,0.83291,4.72183,-3.63483
1961Q4,0.7,6.65531,0.75647,1.40118,0.90016,4.78329,-3.61576
1962Q1,3.4,6.66962,0.75394,1.43031,1.00063,4.76601,-3.61107
1962Q2,1.4,6.68248,0.75511,1.43508,0.99695,4.78595,-3.62239
1962Q3,1.0,6.68997,0.75027,1.44220,1.04380,4.77788,-3.63861
1962Q4,2.5,6.69184,0.75062,1.44692,1.03318,4.83829,-3.63781
1963Q1,1.7,6.70135,0.75567,1.45629,1.06815,4.82376,-3.61770
1963Q2,0.3,6.71381,0.76410,1.45395,1.07841,4.83779,-3.59179
1963Q3,1.2,6.73197,0.77104,1.45161,1.19089,4.83166,-3.57695
1963Q4,2.7,6.74158,0.77436,1.45161,1.25276,4.87931,-3.56805
1964Q1,1.2,6.75821,0.77733,1.45629,1.26130,4.86551,-3.54798
1964Q2,1.4,6.77079,0.78406,1.45862,1.24703,4.87546,-3.53029
1964Q3,2.2,6.78049,0.79480,1.45862,1.25276,4.86933,-3.51898
1964Q4,0.9,6.78434,0.80437,1.46094,1.30291,4.91661,-3.50292
1965Q1,3.3,6.80572,0.80291,1.46326,1.35841,4.89421,-3.49397
