Start,20/7/1988,
End,20/7/2009,
Frequecy,Daily,
Currency ,US,
MS,Apple,Intel
0.4445,11.0625,1.0547
0.4237,10.75,1.0312
0.4289,10.625,1.0781
0.4202,10.6875,1.0742
0.4028,10.6875,1.0781
0.4002,10.6875,1.0547
0.4046,10.7188,1.0625
0.4132,11.0938,1.0859
0.4063,11.25,1.0937
0.3993,11.1563,1.082
0.3907,11.1875,1.0859
0.3855,11.1563,1.0781
0.3716,11.0625,1.0703
0.3698,11,1.0469
0.3594,10.875,1.0156
0.3507,10.4688,0.9766
0.3594,10.8125,1.0078
0.3611,10.625,0.9922
0.3525,10.3125,0.9453
0.3646,10.625,0.9844
0.3646,10.5,0.9727
0.3664,10.625,0.9609
0.3507,10.1875,0.9453
0.3334,9.9375,0.9258
0.3429,9.875,0.9219
0.3577,10.1875,0.9297
0.3525,10.0313,0.9023
0.3568,10.0625,0.875
0.362,10.2188,0.9141
0.3559,10.2188,0.8984
0.3473,9.9688,0.875
0.3394,9.7188,0.8359
0.3577,9.9375,0.8672
0.3577,9.9375,0.8672
0.3611,9.7188,0.8828
0.3594,9.5625,0.8398
0.3611,9.6875,0.8281
0.375,10.125,0.875
0.3733,10.25,0.875
0.375,10.25,0.875
0.375,10.5,0.8984
0.3629,10.4063,0.875
0.3611,10.5625,0.8984
0.3594,10.4375,0.9062
0.3698,10.375,0.8984
0.3733,10.6875,0.8906
0.3785,11,0.875
0.3733,10.9375,0.8945
0.3638,10.6875,0.8594
0.3611,10.8438,0.8555
0.3681,10.875,0.8516
0.3681,11,0.8672
0.3629,10.8125,0.8594
0.3568,10.625,0.8242
0.3551,10.375,0.7969
0.349,10.2188,0.7812
0.3473,9.9375,0.832
0.3455,9.9375,0.7773
0.342,9.625,0.7734
0.3455,9.75,0.7891
0.3516,9.6875,0.7734
0.3577,9.75,0.7891
0.3559,9.6875,0.8047
0.3611,9.625,0.8047
0.3646,9.8438,0.8359
0.3698,10,0.8242
0.3716,10.375,0.8594
0.3681,10.25,0.8672
0.3611,10,0.8437
0.3507,9.9688,0.8359
0.3455,9.8125,0.8125
0.3438,9.75,0.7812
0.3438,9.625,0.7773
0.3403,9.6563,0.7734
0.3386,9.5,0.7695
0.3282,9.3125,0.7734
0.3282,9.2813,0.7812
0.3229,9.4375,0.7734
0.3247,9.375,0.7656
0.3377,9.625,0.7773
0.3455,9.8125,0.7891
0.3403,9.875,0.7734
0.3308,9.625,0.75
0.3368,9.7188,0.7422
0.3264,9.75,0.6875
0.3212,9.5,0.7109
