Date,MS,Apple,Intel,HP
20/07/1988,0.4445,11.0625,1.0547,5.1483
21/07/1988,0.4237,10.75,1.0312,4.9649
22/07/1988,0.4289,10.625,1.0781,4.8548
25/07/1988,0.4202,10.6875,1.0742,4.916
26/07/1988,0.4028,10.6875,1.0781,4.867
27/07/1988,0.4002,10.6875,1.0547,4.7325
28/07/1988,0.4046,10.7188,1.0625,4.7814
29/07/1988,0.4132,11.0938,1.0859,4.9404
1/08/1988,0.4063,11.25,1.0937,5.0016
2/08/1988,0.3993,11.1563,1.082,5.0016
3/08/1988,0.3907,11.1875,1.0859,4.916
4/08/1988,0.3855,11.1563,1.0781,4.8426
5/08/1988,0.3716,11.0625,1.0703,4.8181
8/08/1988,0.3698,11,1.0469,4.8181
9/08/1988,0.3594,10.875,1.0156,4.8793
10/08/1988,0.3507,10.4688,0.9766,4.7692
11/08/1988,0.3594,10.8125,1.0078,4.8181
12/08/1988,0.3611,10.625,0.9922,4.8181
15/08/1988,0.3525,10.3125,0.9453,4.6347
16/08/1988,0.3646,10.625,0.9844,4.488
17/08/1988,0.3646,10.5,0.9727,4.329
18/08/1988,0.3664,10.625,0.9609,4.4024
19/08/1988,0.3507,10.1875,0.9453,4.4024
22/08/1988,0.3334,9.9375,0.9258,4.3534
23/08/1988,0.3429,9.875,0.9219,4.3779
24/08/1988,0.3577,10.1875,0.9297,4.4757
25/08/1988,0.3525,10.0313,0.9023,4.4268
26/08/1988,0.3568,10.0625,0.875,4.5369
29/08/1988,0.362,10.2188,0.9141,4.6225
30/08/1988,0.3559,10.2188,0.8984,4.6836
31/08/1988,0.3473,9.9688,0.875,4.5491
1/09/1988,0.3394,9.7188,0.8359,4.488
2/09/1988,0.3577,9.9375,0.8672,4.6225
5/09/1988,0.3577,9.9375,0.8672,4.6225
6/09/1988,0.3611,9.7188,0.8828,4.6469
7/09/1988,0.3594,9.5625,0.8398,4.6102
8/09/1988,0.3611,9.6875,0.8281,4.6469
9/09/1988,0.375,10.125,0.875,4.7814
12/09/1988,0.3733,10.25,0.875,4.7937
13/09/1988,0.375,10.25,0.875,4.7081
14/09/1988,0.375,10.5,0.8984,4.7448
15/09/1988,0.3629,10.4063,0.875,4.6958
