Month,pdnd,nipo,ripo,turn,cefd,se,sd
196507,26.45,8,35.3,0.121,19.27,122,1322
196508,24.73,8,28,0.117,19.69,93,837
196509,23.17,17,-5.3,0.153,17.58,168,1370
196510,21.01,11,-4.4,0.183,13.59,124,861
196511,16.13,20,1.5,0.151,13.96,257,1142
196512,12.36,11,0.1,0.201,13.9,159,1487
196601,11.2,5,-5.8,0.195,16.01,187,1152
196602,8.55,4,33.1,0.21,19.18,130,1143
196603,7.64,9,21,0.22,16,417,2064
196604,2.64,16,25,0.24,18.32,210,1371
196605,4.91,10,-3.6,0.219,17.95,69,1037
196606,2.26,13,18,0.18,15,811,1616
196607,2.41,8,8.3,0.212,14.68,110,975
196608,3.02,5,0.3,0.183,12.97,137,1575
196609,3.88,1,-0.4,0.193,15.06,67,1333
196610,11.94,5,-9.4,0.19,15.94,137,755
196611,5.08,5,-4.1,0.162,16.45,111,1004
196612,2.86,3,2.3,0.195,15.7,126,1535
196701,1.11,2,44.7,0.217,13.6,91,1593
196702,-0.72,4,7.9,0.215,14.97,156,1262
196703,-2.38,4,22.6,0.249,16.89,143,2219
196704,-4.92,12,8,0.211,18.24,238,1778
196705,-8.33,8,20.7,0.226,16.9,158,1361
196706,-13.62,5,43.3,0.239,16.11,330,2343
196707,-15.82,7,35.1,0.216,14.65,215,2375
196708,-16.86,12,53.8,0.209,13.32,249,2231
196709,-18.82,9,36.7,0.216,11.88,214,1549
196710,-23.36,12,27.6,0.217,10.25,469,1941
196711,-21.95,14,47.7,0.224,7.32,303,1196
196712,-27.2,11,103.8,0.23,2.1,277,2107
196801,-20.26,15,63.9,0.243,0.94,322,1449
196802,-14.44,14,32.1,0.19,-3.11,227,1381
196803,-14.88,21,39.4,0.209,-0.28,440,1359
196804,-23.33,18,56,0.262,2.19,270,1157
196805,-28.5,28,96,0.268,0.42,300,1567
196806,-27.26,23,75.6,0.274,0.64,385,2025
196807,-26.26,30,60.6,0.218,-0.74,371,1772
196808,-26.73,24,45.6,0.202,1.55,396,1037
196809,-29.1,29,67.6,0.185,0.31,398,1159
196810,-26.65,53,36.6,0.228,-4.07,524,1604
196811,-28.68,52,53.4,0.221,-3.24,466,1301
196812,-33.79,61,43.5,0.23,-10.91,483,1572
196901,-31.24,68,37,0.221,-9.42,460,1616
196902,-23.11,54,20.4,0.222,-9.91,808,1237
196903,-22.73,88,12,0.18,-8.91,755,1344
196904,-20.8,76,23.1,0.173,-8.19,830,1917
